"","Event","Sport","Season","Year_City","Year"
"347","Shooting Women's Air Rifle, 10 metres","Shooting","Summer","2008 Beijing",2008
"348","Shooting Women's Air Rifle, 10 metres","Shooting","Summer","2016 Rio de Janeiro",2016
"349","Boxing Men's Lightweight","Boxing","Summer","2016 Rio de Janeiro",2016
"350","Judo Men's Half-Middleweight","Judo","Summer","2016 Rio de Janeiro",2016
"351","Shooting Men's Air Pistol, 10 metres","Shooting","Summer","2008 Beijing",2008
"352","Weightlifting Men's Middleweight","Weightlifting","Summer","2012 London",2012
"353","Weightlifting Men's Middleweight","Weightlifting","Summer","2016 Rio de Janeiro",2016
"354","Athletics Men's 1,500 metres","Athletics","Summer","2008 Beijing",2008
"355","Football Men's Football","Football","Summer","1984 Los Angeles",1984
"356","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","2012 London",2012
"357","Weightlifting Men's Middle-Heavyweight","Weightlifting","Summer","2016 Rio de Janeiro",2016
"358","Athletics Men's 5,000 metres","Athletics","Summer","1952 Helsinki",1952
"359","Shooting Men's Air Rifle, 10 metres","Shooting","Summer","2004 Athina",2004
"360","Shooting Men's Air Rifle, 10 metres","Shooting","Summer","2008 Beijing",2008
"361","Football Men's Football","Football","Summer","2016 Rio de Janeiro",2016
"362","Synchronized Swimming Women's Team","Synchronized Swimming","Summer","2016 Rio de Janeiro",2016
"363","Wrestling Men's Lightweight, Greco-Roman","Wrestling","Summer","2012 London",2012
"364","Judo Men's Extra-Lightweight","Judo","Summer","2016 Rio de Janeiro",2016
"365","Athletics Men's Javelin Throw","Athletics","Summer","2012 London",2012
"366","Gymnastics Men's Individual All-Around","Gymnastics","Summer","2000 Sydney",2000
"367","Gymnastics Men's Horse Vault","Gymnastics","Summer","2000 Sydney",2000
"368","Gymnastics Men's Parallel Bars","Gymnastics","Summer","2000 Sydney",2000
"369","Gymnastics Men's Rings","Gymnastics","Summer","2000 Sydney",2000
"370","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","2000 Sydney",2000
"371","Athletics Men's 5,000 metres","Athletics","Summer","1980 Moskva",1980
"372","Athletics Men's 800 metres","Athletics","Summer","1992 Barcelona",1992
"373","Volleyball Women's Volleyball","Volleyball","Summer","2008 Beijing",2008
"374","Volleyball Women's Volleyball","Volleyball","Summer","2012 London",2012
"375","Wrestling Men's Welterweight, Greco-Roman","Wrestling","Summer","2012 London",2012
"376","Wrestling Men's Middleweight, Greco-Roman","Wrestling","Summer","2016 Rio de Janeiro",2016
"377","Athletics Men's 10,000 metres","Athletics","Summer","2016 Rio de Janeiro",2016
"378","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","2008 Beijing",2008
"379","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","2012 London",2012
"380","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1992 Barcelona",1992
"381","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1996 Atlanta",1996
"382","Athletics Men's 10,000 metres","Athletics","Summer","1988 Seoul",1988
"383","Athletics Men's Marathon","Athletics","Summer","1992 Barcelona",1992
"384","Fencing Men's Foil, Individual","Fencing","Summer","1928 Amsterdam",1928
"385","Fencing Men's Foil, Team","Fencing","Summer","1928 Amsterdam",1928
"386","Fencing Men's Foil, Individual","Fencing","Summer","1936 Berlin",1936
"387","Fencing Men's Foil, Team","Fencing","Summer","1936 Berlin",1936
"388","Fencing Men's epee, Individual","Fencing","Summer","1936 Berlin",1936
"389","Fencing Men's epee, Team","Fencing","Summer","1936 Berlin",1936
"390","Athletics Men's 10,000 metres","Athletics","Summer","2000 Sydney",2000
"391","Athletics Men's 10,000 metres","Athletics","Summer","2004 Athina",2004
"392","Athletics Men's 10,000 metres","Athletics","Summer","2008 Beijing",2008
"393","Athletics Men's Marathon","Athletics","Summer","2012 London",2012
"394","Wrestling Men's Welterweight, Greco-Roman","Wrestling","Summer","2000 Sydney",2000
"395","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","2004 Athina",2004
"396","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","2008 Beijing",2008
"397","Swimming Women's 100 metres Backstroke","Swimming","Summer","1984 Los Angeles",1984
"398","Swimming Women's 200 metres Backstroke","Swimming","Summer","1984 Los Angeles",1984
"399","Swimming Women's 4 x 100 metres Medley Relay","Swimming","Summer","1984 Los Angeles",1984
"400","Football Men's Football","Football","Summer","1976 Montreal",1976
"401","Boxing Men's Lightweight","Boxing","Summer","2012 London",2012
"402","Wrestling Men's Light-Heavyweight, Freestyle","Wrestling","Summer","2000 Sydney",2000
"403","Modern Pentathlon Men's Individual","Modern Pentathlon","Summer","2004 Athina",2004
"404","Modern Pentathlon Men's Individual","Modern Pentathlon","Summer","1988 Seoul",1988
"405","Modern Pentathlon Men's Team","Modern Pentathlon","Summer","1988 Seoul",1988
"406","Modern Pentathlon Men's Individual","Modern Pentathlon","Summer","1992 Barcelona",1992
"407","Modern Pentathlon Men's Team","Modern Pentathlon","Summer","1992 Barcelona",1992
"408","Athletics Men's 200 metres","Athletics","Summer","1996 Atlanta",1996
"409","Volleyball Women's Volleyball","Volleyball","Summer","2016 Rio de Janeiro",2016
"410","Boxing Men's Bantamweight","Boxing","Summer","1952 Helsinki",1952
"411","Athletics Women's 200 metres","Athletics","Summer","2016 Rio de Janeiro",2016
"412","Athletics Men's 4 x 400 metres Relay","Athletics","Summer","1980 Moskva",1980
"413","Hockey Men's Hockey","Hockey","Summer","1996 Atlanta",1996
"414","Table Tennis Women's Singles","Table Tennis","Summer","2000 Sydney",2000
"415","Table Tennis Women's Doubles","Table Tennis","Summer","2000 Sydney",2000
"416","Table Tennis Women's Singles","Table Tennis","Summer","2008 Beijing",2008
"417","Shooting Men's Skeet","Shooting","Summer","1996 Atlanta",1996
"418","Shooting Men's Skeet","Shooting","Summer","2000 Sydney",2000
"419","Swimming Men's 50 metres Freestyle","Swimming","Summer","2000 Sydney",2000
"420","Athletics Men's 110 metres Hurdles","Athletics","Summer","1928 Amsterdam",1928
"421","Athletics Men's 400 metres Hurdles","Athletics","Summer","1928 Amsterdam",1928
"422","Weightlifting Men's Heavyweight","Weightlifting","Summer","1960 Roma",1960
"423","Weightlifting Men's Heavyweight","Weightlifting","Summer","1964 Tokyo",1964
"424","Football Men's Football","Football","Summer","1980 Moskva",1980
"425","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1980 Moskva",1980
"426","Athletics Men's 200 metres","Athletics","Summer","1976 Montreal",1976
"427","Boxing Men's Lightweight","Boxing","Summer","1960 Roma",1960
"428","Athletics Men's 4 x 400 metres Relay","Athletics","Summer","1992 Barcelona",1992
"429","Athletics Men's Marathon","Athletics","Summer","1988 Seoul",1988
"430","Swimming Women's 50 metres Freestyle","Swimming","Summer","2000 Sydney",2000
"431","Water Polo Men's Water Polo","Water Polo","Summer","1976 Montreal",1976
"432","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Shooting","Summer","1984 Los Angeles",1984
"433","Shooting Men's Rapid-Fire Pistol, 25 metres","Shooting","Summer","1984 Los Angeles",1984
"434","Cycling Men's Road Race, Individual","Cycling","Summer","1972 Munich",1972
"435","Athletics Men's 400 metres Hurdles","Athletics","Summer","1968 Mexico City",1968
"436","Hockey Men's Hockey","Hockey","Summer","1960 Roma",1960
"437","Hockey Men's Hockey","Hockey","Summer","1964 Tokyo",1964
"438","Athletics Women's 100 metres","Athletics","Summer","2008 Beijing",2008
"439","Athletics Women's 100 metres","Athletics","Summer","2012 London",2012
"440","Athletics Men's Triple Jump","Athletics","Summer","1960 Roma",1960
"441","Athletics Men's High Jump","Athletics","Summer","1960 Roma",1960
"442","Hockey Men's Hockey","Hockey","Summer","1948 London",1948
"443","Wrestling Men's Flyweight, Greco-Roman","Wrestling","Summer","1980 Moskva",1980
"444","Diving Men's Platform","Diving","Summer","1936 Berlin",1936
"445","Diving Men's Platform","Diving","Summer","1948 London",1948
"446","Shooting Men's Air Rifle, 10 metres","Shooting","Summer","1996 Atlanta",1996
"447","Swimming Men's 400 metres Freestyle","Swimming","Summer","1980 Moskva",1980
"448","Swimming Men's 100 metres Butterfly","Swimming","Summer","1980 Moskva",1980
"449","Hockey Men's Hockey","Hockey","Summer","1952 Helsinki",1952
"450","Weightlifting Women's Lightweight","Weightlifting","Summer","2004 Athina",2004
"451","Athletics Men's 100 metres","Athletics","Summer","1968 Mexico City",1968
"452","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1968 Mexico City",1968
"453","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1972 Munich",1972
"454","Athletics Women's Long Jump","Athletics","Summer","2008 Beijing",2008
"455","Fencing Women's epee, Individual","Fencing","Summer","2012 London",2012
"456","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","1972 Munich",1972
"457","Swimming Men's 100 metres Freestyle","Swimming","Summer","1968 Mexico City",1968
"458","Swimming Men's 200 metres Freestyle","Swimming","Summer","1968 Mexico City",1968
"459","Swimming Men's 4 x 100 metres Freestyle Relay","Swimming","Summer","1968 Mexico City",1968
"460","Swimming Men's 4 x 200 metres Freestyle Relay","Swimming","Summer","1968 Mexico City",1968
"461","Swimming Men's 4 x 100 metres Medley Relay","Swimming","Summer","1968 Mexico City",1968
"462","Swimming Men's 200 metres Butterfly","Swimming","Summer","1988 Seoul",1988
"463","Rowing Men's Double Sculls","Rowing","Summer","2004 Athina",2004
"464","Weightlifting Men's Middle-Heavyweight","Weightlifting","Summer","1992 Barcelona",1992
"465","Swimming Men's 4 x 100 metres Freestyle Relay","Swimming","Summer","1988 Seoul",1988
"466","Swimming Men's 4 x 200 metres Freestyle Relay","Swimming","Summer","1988 Seoul",1988
"467","Swimming Men's 100 metres Backstroke","Swimming","Summer","1988 Seoul",1988
"468","Swimming Men's 200 metres Backstroke","Swimming","Summer","1988 Seoul",1988
"469","Swimming Men's 200 metres Individual Medley","Swimming","Summer","1988 Seoul",1988
"470","Swimming Men's 4 x 100 metres Medley Relay","Swimming","Summer","1988 Seoul",1988
"471","Athletics Men's 100 metres","Athletics","Summer","1984 Los Angeles",1984
"472","Athletics Men's Pole Vault","Athletics","Summer","1960 Roma",1960
"473","Swimming Men's 200 metres Individual Medley","Swimming","Summer","1996 Atlanta",1996
"474","Swimming Men's 400 metres Individual Medley","Swimming","Summer","1996 Atlanta",1996
"475","Swimming Men's 400 metres Individual Medley","Swimming","Summer","2000 Sydney",2000
"476","Badminton Women's Singles","Badminton","Summer","1992 Barcelona",1992
"477","Badminton Women's Singles","Badminton","Summer","1996 Atlanta",1996
"478","Boxing Men's Light-Middleweight","Boxing","Summer","1968 Mexico City",1968
"479","Boxing Men's Middleweight","Boxing","Summer","1972 Munich",1972
"480","Tennis Men's Singles","Tennis","Summer","1988 Seoul",1988
"481","Boxing Men's Heavyweight","Boxing","Summer","2016 Rio de Janeiro",2016
"482","Wrestling Men's Bantamweight, Freestyle","Wrestling","Summer","1996 Atlanta",1996
"483","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","2000 Sydney",2000
"484","Boxing Men's Lightweight","Boxing","Summer","1996 Atlanta",1996
"485","Boxing Men's Light-Welterweight","Boxing","Summer","2000 Sydney",2000
"486","Wrestling Men's Super-Heavyweight, Greco-Roman","Wrestling","Summer","2012 London",2012
"487","Wrestling Men's Super-Heavyweight, Greco-Roman","Wrestling","Summer","2016 Rio de Janeiro",2016
"488","Wrestling Men's Flyweight, Freestyle","Wrestling","Summer","1996 Atlanta",1996
"489","Wrestling Men's Bantamweight, Freestyle","Wrestling","Summer","2000 Sydney",2000
"490","Athletics Women's 5,000 metres","Athletics","Summer","2012 London",2012
"491","Wrestling Men's Middleweight, Greco-Roman","Wrestling","Summer","2008 Beijing",2008
"492","Swimming Men's 100 metres Freestyle","Swimming","Summer","1972 Munich",1972
"493","Weightlifting Women's Light-Heavyweight","Weightlifting","Summer","2008 Beijing",2008
"494","Weightlifting Women's Heavyweight","Weightlifting","Summer","2012 London",2012
"495","Football Men's Football","Football","Summer","2012 London",2012
"496","Synchronized Swimming Women's Duet","Synchronized Swimming","Summer","2012 London",2012
"497","Athletics Men's Discus Throw","Athletics","Summer","1980 Moskva",1980
"498","Athletics Men's 110 metres Hurdles","Athletics","Summer","1988 Seoul",1988
"499","Athletics Men's 110 metres Hurdles","Athletics","Summer","1992 Barcelona",1992
"500","Weightlifting Men's Featherweight","Weightlifting","Summer","2008 Beijing",2008
"501","Weightlifting Men's Lightweight","Weightlifting","Summer","2012 London",2012
"502","Boxing Men's Middleweight","Boxing","Summer","2004 Athina",2004
"503","Taekwondo Men's Featherweight","Taekwondo","Summer","2008 Beijing",2008
"504","Taekwondo Men's Welterweight","Taekwondo","Summer","2012 London",2012
"505","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","2016 Rio de Janeiro",2016
"506","Judo Men's Heavyweight","Judo","Summer","2016 Rio de Janeiro",2016
"507","Wrestling Men's Light-Heavyweight, Freestyle","Wrestling","Summer","2008 Beijing",2008
"508","Wrestling Men's Light-Heavyweight, Freestyle","Wrestling","Summer","2012 London",2012
"509","Cycling Men's Sprint","Cycling","Summer","1980 Moskva",1980
"510","Athletics Men's Hammer Throw","Athletics","Summer","1992 Barcelona",1992
"511","Athletics Men's Hammer Throw","Athletics","Summer","2000 Sydney",2000
"512","Cycling Men's Road Race, Individual","Cycling","Summer","1988 Seoul",1988
"513","Cycling Men's Road Race, Individual","Cycling","Summer","1996 Atlanta",1996
"514","Boxing Men's Bantamweight","Boxing","Summer","2004 Athina",2004
"515","Athletics Men's Hammer Throw","Athletics","Summer","1936 Berlin",1936
"516","Bobsleigh Men's Two","Bobsleigh","Winter","1972 Sapporo",1972
"517","Bobsleigh Men's Four","Bobsleigh","Winter","1972 Sapporo",1972
"518","Bobsleigh Men's Two","Bobsleigh","Winter","1976 Innsbruck",1976
"519","Bobsleigh Men's Four","Bobsleigh","Winter","1976 Innsbruck",1976
"520","Wrestling Men's Lightweight, Freestyle","Wrestling","Summer","1960 Roma",1960
"521","Nordic Combined Men's Team","Nordic Combined","Winter","1988 Calgary",1988
"522","Nordic Combined Men's Individual","Nordic Combined","Winter","1988 Calgary",1988
"523","Nordic Combined Men's Individual","Nordic Combined","Winter","1992 Albertville",1992
"524","Nordic Combined Men's Team","Nordic Combined","Winter","1994 Lillehammer",1994
"525","Nordic Combined Men's Individual","Nordic Combined","Winter","1994 Lillehammer",1994
"526","Athletics Men's Long Jump","Athletics","Summer","1968 Mexico City",1968
"527","Rowing Men's Coxed Pairs","Rowing","Summer","1936 Berlin",1936
"528","Baseball Men's Baseball","Baseball","Summer","2000 Sydney",2000
"529","Baseball Men's Baseball","Baseball","Summer","2008 Beijing",2008
"530","Rowing Men's Coxed Fours","Rowing","Summer","1984 Los Angeles",1984
"531","Rowing Men's Coxed Eights","Rowing","Summer","1988 Seoul",1988
"532","Rowing Men's Coxed Eights","Rowing","Summer","1992 Barcelona",1992
"533","Cycling Women's Road Race, Individual","Cycling","Summer","1984 Los Angeles",1984
"534","Handball Women's Handball","Handball","Summer","1980 Moskva",1980
"535","Athletics Men's 5,000 metres","Athletics","Summer","1992 Barcelona",1992
"536","Athletics Men's 10,000 metres","Athletics","Summer","1992 Barcelona",1992
"537","Cycling Men's Road Race, Individual","Cycling","Summer","1992 Barcelona",1992
"538","Cycling Men's 100 kilometres Team Time Trial","Cycling","Summer","1992 Barcelona",1992
"539","Boxing Men's Flyweight","Boxing","Summer","1988 Seoul",1988
"540","Fencing Men's Sabre, Individual","Fencing","Summer","2012 London",2012
"541","Fencing Men's Sabre, Individual","Fencing","Summer","2016 Rio de Janeiro",2016
"542","Football Men's Football","Football","Summer","1924 Paris",1924
"543","Volleyball Men's Volleyball","Volleyball","Summer","1972 Munich",1972
"544","Volleyball Men's Volleyball","Volleyball","Summer","1976 Montreal",1976
"545","Rhythmic Gymnastics Women's Group","Rhythmic Gymnastics","Summer","2004 Athina",2004
"546","Art Competitions Mixed Architecture, Designs For Town Planning","Art Competitions","Summer","1928 Amsterdam",1928
"547","Art Competitions Mixed Architecture, Architectural Designs","Art Competitions","Summer","1928 Amsterdam",1928
"548","Ice Hockey Men's Ice Hockey","Ice Hockey","Winter","1924 Chamonix",1924
"549","Ice Hockey Men's Ice Hockey","Ice Hockey","Winter","1952 Oslo",1952
